Species_Code,CommonName,FullLatinName
AMOY,American Oystercatcher,Haematopus palliatus
BCNH,Black-crowned Night-Heron,Nycticorax nycticorax
COEI,Common Eider,Somateria mollissima
COEI - AF,Common Eider - Adult Female,Somateria mollissima
COEI - AM,Common Eider - Adult Male,Somateria mollissima
COEI - Chick,Common Eider - Chick,Somateria mollissima
COEI - JM,Common Eider - Juvenile Male,Somateria mollissima
COTE,Common Tern,Sterna hirundo
DCCO,Double-crested Cormorant,Phalacrocorax auritus
GBBG,Great Black-backed Gull,Larus marinus
GLIB,Glossy Ibis,Plegadis falcinellus
GREG,Great Egret,Ardea alba
HERG,Herring Gull,Larus argentatus
LETE,Least Tern,Sternula antillarum
MALL,Mallard Duck,Anas platyrhynchos
PIPL,Piping Plover,
SNEG,Snowy Egret,Egretta thula
SPSA,Spotted Sandpiper,Actitis macularia
UNKN,Unknown species,
UNWB,Unknown Wading Bird,
WILL,Willet,Tringa semipalmata
